Question,Option 1,Option 2,Option 3,Option 4,Correct Answer Index
What is the capital of France?,Paris,Madrid,Berlin,Rome,0
Which planet is known as the Red Planet?,Venus,Jupiter,Mars,Mercury,2
What is the largest mammal in the world?,Elephant,Giraffe,Blue Whale,Lion,2
Who wrote the play "Romeo and Juliet"?,William Shakespeare,Charles Dickens,Mark Twain,Jane Austen,0
Which gas do plants primarily use for photosynthesis?,Oxygen,Carbon Dioxide,Helium,Nitrogen,1
What is the tallest mountain in the world?,Mount Everest,Mount Kilimanjaro,K2,Mont Blanc,0
Which famous scientist developed the theory of relativity?,Isaac Newton,Albert Einstein,Nikola Tesla,Galileo Galilei,1
Which ocean is the largest on Earth?,Pacific Ocean,Atlantic Ocean,Indian Ocean,Arctic Ocean,0
What is the chemical symbol for gold?,Ag,Au,Gd,Hg,1
Which country is known as the Land of the Rising Sun?,China,Japan,South Korea,Vietnam,1
